term,Topic,Freq,Term
6674,3,0.9365539099266951,aceleracion
4843,2,0.850934456744224,active
100,1,0.1855277416911387,actividad
100,2,0.10389553534703767,actividad
100,3,0.1261588643499743,actividad
100,4,0.07421109667645548,actividad
100,5,0.1855277416911387,actividad
100,6,0.1855277416911387,actividad
100,7,0.13357997401761987,actividad
1877,1,0.7132977212670555,actualidadrt
1877,6,0.11888295354450926,actualidadrt
1877,7,0.11888295354450926,actualidadrt
2070,1,0.14224908693592855,actualiza
2070,4,0.7112454346796427,actualiza
2070,7,0.14224908693592855,actualiza
8145,1,0.7963336721466068,actualizar
3549,1,0.15877821202637515,aeropuerto
3549,2,0.03969455300659379,aeropuerto
3549,3,0.23816731803956273,aeropuerto
3549,5,0.3572509770593441,aeropuerto
3549,6,0.03969455300659379,aeropuerto
3549,7,0.19847276503296896,aeropuerto
5472,4,0.6468976337365666,aeropuertos
2614,1,0.095885990552102,afectadas
2614,2,0.15980998425350332,afectadas
2614,3,0.12784798740280268,afectadas
2614,4,0.06392399370140134,afectadas
2614,5,0.31961996850700664,afectadas
2614,6,0.12784798740280268,afectadas
2614,7,0.12784798740280268,afectadas
1904,1,0.1559985007786756,afectados
1904,2,0.19499812597334448,afectados
1904,3,0.1267487818826739,afectados
1904,4,0.20474803227201172,afectados
1904,5,0.1559985007786756,afectados
1904,6,0.08774915668800502,afectados
1904,7,0.0779992503893378,afectados
6088,6,0.6338148458462213,afecto
4452,1,0.07333829992915189,afirma
4452,2,0.07333829992915189,afirma
4452,3,0.7333829992915188,afirma
4452,4,0.07333829992915189,afirma
4452,6,0.07333829992915189,afirma
4295,1,0.8538753305260897,afirmaron
4295,2,0.10673441631576121,afirmaron
3366,1,0.6766040088081566,agricultura
3366,3,0.16915100220203916,agricultura
7202,2,0.7585851182231385,alcance
4627,4,0.18236024774097165,alcanzar
4627,6,0.7294409909638866,alcanzar
5949,1,0.8835255364135969,all
1987,2,0.21558944982380443,alonso
1987,3,0.05389736245595111,alonso
1987,4,0.5928709870154621,alonso
1987,5,0.10779472491190221,alonso
8892,4,0.6470902977851667,alpine
6135,1,0.09715173823343862,alumnos
6135,3,0.09715173823343862,alumnos
6135,5,0.09715173823343862,alumnos
6135,6,0.5829104294006318,alumnos
6135,7,0.09715173823343862,alumnos
11934,7,0.8557496739083107,amador
427,1,0.21995943433919107,amenaza
427,2,0.14140249350376569,amenaza
427,3,0.06284555266834031,amenaza
427,4,0.04713416450125523,amenaza
427,5,0.20424804617210598,amenaza
427,6,0.2670935988404463,amenaza
427,7,0.06284555266834031,amenaza
5955,4,0.8599799039396511,amigas
2868,1,0.7140895454883374,an
1878,1,0.8216210576645906,animalistas
1878,2,0.11737443680922723,animalistas
1878,3,0.05868721840461361,animalistas
4296,1,0.876573649056883,anonimos
