,Term,Freq,Total,Category,logprob,loglift
695,erupcionlapalma,442.0,442.0,Default,30.0,30.0
402,todoque,195.0,195.0,Default,29.0,29.0
12,terremoto,154.0,154.0,Default,28.0,28.0
5434,cumple,73.0,73.0,Default,27.0,27.0
3615,lalaguna,89.0,89.0,Default,26.0,26.0
106,via,213.0,213.0,Default,25.0,25.0
1368,hectareas,140.0,140.0,Default,24.0,24.0
1473,icono,28.0,28.0,Default,23.0,23.0
139,mayor,124.0,124.0,Default,22.0,22.0
11,espanola,115.0,115.0,Default,21.0,21.0
1926,paso,66.0,66.0,Default,20.0,20.0
1453,parada,32.0,32.0,Default,19.0,19.0
2071,edificaciones,81.0,81.0,Default,18.0,18.0
100,actividad,133.0,133.0,Default,17.0,17.0
140,sufre,86.0,86.0,Default,16.0,16.0
8956,ordenan,18.0,18.0,Default,15.0,15.0
5599,avanza,58.0,58.0,Default,14.0,14.0
156,derrames,42.0,42.0,Default,13.0,13.0
1678,ensanchan,23.0,23.0,Default,12.0,12.0
893,sanchez,59.0,59.0,Default,11.0,11.0
1867,tsunami,83.0,83.0,Default,10.0,10.0
4934,emanaciones,28.0,28.0,Default,9.0,9.0
1367,evacuaciones,37.0,37.0,Default,8.0,8.0
313,sacudio,26.0,26.0,Default,7.0,7.0
170,nueva,110.0,110.0,Default,6.0,6.0
311,magnitud,125.0,125.0,Default,5.0,5.0
1366,arrasa,56.0,56.0,Default,4.0,4.0
660,vivo,58.0,58.0,Default,3.0,3.0
815,video,127.0,127.0,Default,2.0,2.0
185,noticias,115.0,115.0,Default,1.0,1.0
8376,carlitosmartnz,4.230750910457105,5.014480319925184,Topic1,-7.5964,1.5574
12079,envuelto,7.7363860082846925,9.18348211463552,Topic1,-6.9928,1.5559
12078,desesperada,7.731133045165818,9.178742974546354,Topic1,-6.9935,1.5557
10395,relato,3.5034743914186945,4.1763532415130715,Topic1,-7.785,1.5517
6981,actualizada,3.503314556998613,4.176178577038111,Topic1,-7.785,1.5517
6962,desdelamoncloa,3.4919067429825197,4.1775239535077535,Topic1,-7.7883,1.5481
6963,hechos,3.464622124953269,4.17131557764639,Topic1,-7.7961,1.5417
402,todoque,158.68136869156174,195.61902685799578,Topic1,-3.9718,1.5181
4710,superiores,2.659759723074988,3.3319730505728913,Topic1,-8.0605,1.502
421,lucara,2.658414368324363,3.330809208523325,Topic1,-8.061,1.5019
9043,puestos,2.6588477843591853,3.331511928026769,Topic1,-8.0608,1.5018
10873,retrasos,2.6589752596635448,3.3318220860347245,Topic1,-8.0608,1.5018
4632,quedando,2.6569233975529896,3.3292847699884063,Topic1,-8.0616,1.5018
4971,joaquinbondoni,2.658646765610003,3.3315137877633854,Topic1,-8.0609,1.5018
3067,marca,2.658416574627708,3.3312740177359963,Topic1,-8.061,1.5017
9040,anunciaron,2.6571072561650464,3.3300609738368316,Topic1,-8.0615,1.5016
9138,sorprende,2.657072935890796,3.330178189868497,Topic1,-8.0615,1.5016
8460,remitir,2.64506304620642,3.330107853278827,Topic1,-8.066,1.4971
8459,reciben,2.644362912611707,3.330312291320197,Topic1,-8.0663,1.4967
6961,actuen,2.63990348326247,3.3297154755226512,Topic1,-8.068,1.4952
6965,viajecito,2.6388974089372943,3.3293462745058844,Topic1,-8.0684,1.495
6964,propagandistico,2.627800928837617,3.3281083862314818,Topic1,-8.0726,1.4911
8377,chicadelaradio,2.6040061924100235,3.3281151158847644,Topic1,-8.0817,1.482
8381,olgarallo,2.572361673826862,3.3255485685050106,Topic1,-8.0939,1.4706
7103,rescatando,3.1980612126001313,4.156687153495009,Topic1,-7.8762,1.4652
10046,precedentes,4.34754084257347,5.786156506636956,Topic1,-7.5691,1.4415
9189,fuerzacanarias,4.3489067894886455,5.790702112646154,Topic1,-7.5688,1.441
6018,localidades,8.57864378098646,11.575748984617917,Topic1,-6.8895,1.4277
4452,afirma,10.268930035360423,14.06638268484973,Topic1,-6.7096,1.4127
10397,respiro,1.8136269462655084,2.4856433463816394,Topic1,-8.4434,1.4122
8337,joanmiquelmj,4.253725882619741,5.832167171405112,Topic1,-7.5909,1.4118
2158,rescatado,7.733019679670338,10.724569264797479,Topic1,-6.9932,1.4003
695,erupcionlapalma,219.20064990098072,442.93686804854633,Topic1,-3.6487,1.0239
3549,aeropuerto,16.760207872368717,26.329138201821433,Topic1,-6.2197,1.2757
758,fuerte,17.271976112725884,27.93288950093187,Topic1,-6.1896,1.2466
